"Name","Country","District","Population"
"Istanbul","Turkey","Istanbul","8787958"
"Baghdad","Iraq","Baghdad","4336000"
"Riyadh","Saudi Arabia","Riyadh","3324000"
"Ankara","Turkey","Ankara","3038159"
"Izmir","Turkey","Izmir","2130359"
"Jedda","Saudi Arabia","Mekka","2046300"
"Baku","Azerbaijan","Baki","1787800"
"Damascus","Syria","Damascus","1347000"
"Aleppo","Syria","Aleppo","1261983"
"Yerevan","Armenia","Yerevan","1248700"
"Tbilisi","Georgia","Tbilisi","1235200"
"Adana","Turkey","Adana","1131198"
"Beirut","Lebanon","Beirut","1100000"
"Bursa","Turkey","Bursa","1095842"
"Amman","Jordan","Amman","1000000"
"Mekka","Saudi Arabia","Mekka","965700"
"Mosul","Iraq","Ninawa","879000"
"Gaziantep","Turkey","Gaziantep","789056"
"Dubai","United Arab Emirates","Dubai","669181"
"Jerusalem","Israel","Jerusalem","633700"
"Konya","Turkey","Konya","628364"
"Medina","Saudi Arabia","Medina","608300"
"Mersin (Içel)","Turkey","Içel","587212"
"Antalya","Turkey","Antalya","564914"
"Hims","Syria","Hims","507404"
"Sanaa","Yemen","Sanaa","503600"
"Irbil","Iraq","Irbil","485968"
"al-Dammam","Saudi Arabia","al-Sharqiya","482300"
"Diyarbakir","Turkey","Diyarbakir","479884"
"Kayseri","Turkey","Kayseri","475657"
"Eskisehir","Turkey","Eskisehir","470781"
"Kirkuk","Iraq","al-Tamim","418624"
"al-Taif","Saudi Arabia","Mekka","416100"
"Basra","Iraq","Basra","406296"
"Sanliurfa","Turkey","Sanliurfa","405905"
"Abu Dhabi","United Arab Emirates","Abu Dhabi","398695"
"Aden","Yemen","Aden","398300"
"al-Zarqa","Jordan","al-Zarqa","389815"
"al-Sulaymaniya","Iraq","al-Sulaymaniya","364096"
"Doha","Qatar","Doha","355000"
"Gaza","Palestine","Gaza","353632"
"Tel Aviv-Jaffa","Israel","Tel Aviv","348100"
"Hama","Syria","Hama","343361"
"Samsun","Turkey","Samsun","339871"
"Malatya","Turkey","Malatya","330312"
"Sharja","United Arab Emirates","Sharja","320095"
"Taizz","Yemen","Taizz","317600"
"al-Najaf","Iraq","al-Najaf","309010"
"Gäncä","Azerbaijan","Gäncä","299300"
"Hodeida","Yemen","Hodeida","298500"
"Karbala","Iraq","Karbala","296705"
"Tabuk","Saudi Arabia","Tabuk","292600"
"Sumqayit","Azerbaijan","Sumqayit","283000"
"al-Hilla","Iraq","Babil","268834"
"al-Nasiriya","Iraq","DhiQar","265937"
"Haifa","Israel","Haifa","265700"
"Latakia","Syria","Latakia","264563"
"Gebze","Turkey","Kocaeli","264170"
"Denizli","Turkey","Denizli","253848"
"Burayda","Saudi Arabia","al-Qasim","248600"
"Sivas","Turkey","Sivas","246642"
"Erzurum","Turkey","Erzurum","246535"
"Tarsus","Turkey","Adana","246206"
"Kahramanmaras","Turkey","Kahramanmaras","245772"
"Kutaisi","Georgia","Imereti","240900"
"Tripoli","Lebanon","al-Shamal","240000"
"Irbid","Jordan","Irbid","231511"
"Elâzig","Turkey","Elâzig","228815"
"al-Ayn","United Arab Emirates","Abu Dhabi","225970"
"al-Hufuf","Saudi Arabia","al-Sharqiya","225800"
"Van","Turkey","Van","219319"
"al-Mubarraz","Saudi Arabia","al-Sharqiya","219100"
"Khamis Mushayt","Saudi Arabia","Asir","217900"
"Gjumri","Armenia","Širak","211700"
"Sultanbeyli","Turkey","Istanbul","211068"
"Izmit (Kocaeli)","Turkey","Kocaeli","210068"
"al-Amara","Iraq","Maysan","208797"
